date,Administratif,Aéronautique,Agriculture,Agro-alimentaire,Animation,Architecture,Artisanat,Assistante de direction,Assurances,Audiovisuel,Audit,Automobile,Autres,Aviation,Banque,Biologie,Call Center,Chimie,Commerce,Communication,Comptabilité,Confection,Consulting,Cosmétique,Cuisine,Décor,Documentation,Droit,Economie,Energie,Enseignement,Finance,Fiscalité,Génie civil,Génie électrique,Gestion,Hydraulique,Immobilier,Import / Export,Industrie électro-mécaniques,Industrie Métalliques,Informatique,Journalisme,Langues,Logistique,Maintenance industrielle,Management,Marketing,Plasturgie,Production,Psychologie,Rédaction,Ressources Humaines,Santé,Sécurité,Sport,Statistiques,Telecommunication,Textile,Tourisme,Traduction,Transport,pib,chomage,Freelance,Secteur privé,Secteur public
05/20,7,0,0,2,0,0,0,1,0,0,0,1,3,0,0,0,7,0,11,2,3,0,1,1,1,0,1,1,0,0,3,1,0,0,0,1,0,1,0,1,2,25,0,2,0,1,0,4,0,3,0,0,0,3,1,0,0,0,0,1,0,0,1.51,16.37,0,84,0
06/20,10,0,0,0,0,0,0,4,2,3,0,0,4,0,1,0,3,1,10,1,6,0,1,1,3,0,0,0,0,0,4,2,0,1,2,1,0,0,0,3,0,35,0,0,0,1,1,4,0,2,0,0,3,2,0,1,0,1,0,5,0,2,1.51,16.37,0,108,0
07/20,15,0,0,3,0,4,0,2,1,0,1,0,3,0,0,0,4,1,17,2,5,0,2,1,1,0,2,1,1,2,1,2,0,2,4,0,0,0,0,6,1,36,0,2,3,2,1,5,0,2,0,0,3,1,0,1,0,1,0,6,0,3,1.51,16.37,5,137,0
08/20,7,0,0,2,2,0,0,3,2,0,0,0,4,0,0,1,5,0,19,2,9,1,2,1,6,0,0,2,0,1,1,1,0,4,0,1,0,0,0,4,1,29,0,1,0,1,1,1,1,4,1,2,2,7,1,1,0,1,1,4,0,4,1.51,16.37,2,129,1
09/20,6,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,5,3,1,0,2,0,1,0,0,2,0,0,0,0,0,3,0,0,0,1,0,2,1,12,2,0,0,1,1,0,0,2,0,0,1,1,0,0,0,1,1,2,1,1,1.51,16.37,3,53,0
10/20,8,0,0,1,0,5,0,3,1,1,1,0,2,0,0,0,2,1,14,1,5,0,0,1,0,0,0,0,0,0,3,0,0,0,2,2,0,2,1,2,0,20,0,0,0,1,1,3,0,4,0,1,4,4,3,3,0,0,0,1,1,0,1.51,16.37,0,102,1
11/20,9,0,0,2,1,6,0,3,0,1,1,0,3,0,0,0,3,0,26,0,8,0,0,1,1,0,0,1,1,0,7,0,0,2,1,2,1,1,1,3,0,23,1,1,0,0,1,4,0,2,0,2,2,6,0,2,0,1,1,0,0,2,1.51,16.37,5,120,4
12/20,3,0,0,1,0,1,0,2,0,0,1,0,2,0,3,0,3,0,14,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,0,1,0,22,0,1,0,1,0,4,1,2,0,0,2,2,0,0,1,0,0,3,0,2,1.51,16.37,3,76,2
01/21,8,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2,1,8,2,2,0,8,1,2,0,0,0,0,0,1,1,0,3,1,2,1,1,0,2,1,28,0,0,0,1,0,5,0,0,0,0,0,5,0,0,0,1,0,0,0,1,9.75,16.26,1,87,2
02/21,5,0,1,0,0,0,0,4,1,0,1,1,4,0,0,0,3,0,14,2,4,0,0,1,0,0,0,0,0,1,0,4,0,1,1,0,3,1,0,1,0,21,0,0,1,2,0,2,0,3,0,0,1,3,0,0,0,0,0,0,0,1,9.75,16.26,0,84,0
03/21,9,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,4,0,9,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,23,1,0,0,1,0,2,0,0,1,0,2,0,0,1,0,1,0,3,0,1,9.75,16.26,2,65,2
04/21,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,5,2,2,0,1,1,1,0,0,0,0,0,1,2,0,0,0,3,0,0,0,2,0,16,1,0,0,1,1,5,0,1,0,0,2,0,0,0,0,0,0,3,1,0,9.75,17.9,0,49,2
05/21,4,0,0,0,0,1,0,1,0,0,1,0,6,0,0,2,4,0,7,1,5,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,0,16,0,0,0,0,1,1,0,2,0,0,2,5,0,1,0,0,0,1,0,0,9.75,17.9,3,62,0
